ld,paper,origin_chamber,snum,title,committee,final_disposition,governor_action,chaptered_law,chapter,became_law,last_house_action,last_senate_action,sponsor_count,action_count,roll_call_count,amendment_count,ps_url,lawmaker_summary_url
175,HP0108,House,132,"RESOLUTION, Proposing an Amendment to the Constitution of Maine to Ensure That Only Citizens of the United States May Participate in Elections",Veterans and Legal Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, May 14, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",5/14/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0108,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0108&SessionID=16
176,HP0109,House,132,An Act to Authorize the Formation of Emergency Medical Services Districts,Criminal Justice and Public Safety,"Enacted, Jun 17, 2025","Signed, Jun 17, 2025","ACTPUB, Chapter 334",334,True,6/10/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/11/2025 - PASSED TO BE ENACTED , in concurrence.",1,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0109,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0109&SessionID=16
177,HP0110,House,132,An Act to Create Municipal Cannabis Revenue Sharing,Veterans and Legal Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 4, 2025",,,,False,1/14/2025 - Committee on Veterans and Legal Affairs suggested and ordered printed. The Bill was REFERRED to the Committee on VETERANS AND LEGAL AFFAIRS . Sent for concurrence. ORDERED SENT FORTHWITH.,3/4/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0110,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0110&SessionID=16
178,HP0111,House,132,An Act Regarding Coverage for Step Therapy for Metastatic Cancer,"Health Coverage, Insurance and Financial Services","Enacted, Jul 1, 2025","Signed, Jul 1, 2025","ACTPUB, Chapter 448",448,True,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,6/25/2025 - On motion by Senator ROTUNDO of Androscoggin taken from the Special Appropriations Table PASSED TO BE ENACTED in concurrence.,3,8,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0111,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0111&SessionID=16
179,HP0112,House,132,An Act to Amend the Maine Bail Code to Eliminate the Class E Crime of Violation of Condition of Release,Criminal Justice and Public Safety,"Accepted Majority (ONTP) Report, Jun 13, 2025",,,,False,"6/13/2025 - Reports READ . On motion of Representative HASENFUS of Readfield, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 484 (Yeas 112 - Nays 32 - Absent 5 - Excused 2) Sent for concurrence. ORDERED SENT FORTHWITH.",6/13/2025 - Reports Read On motion by Senator CARNEY of Cumberland the Majority Ought Not to Pass Report ACCEPTED . in concurrence Placed in Legislative Files ( DEAD ).,2,5,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0112,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0112&SessionID=16
180,HP0113,House,132,An Act Regarding Reimbursements by Health Insurance Carriers or Pharmacy Benefits Managers to Pharmacies,"Health Coverage, Insurance and Financial Services","Enacted, Jun 17, 2025","Signed, Jun 17, 2025","ACTPUB, Chapter 335",335,True,6/11/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/12/2025 - PASSED TO BE ENACTED , in concurrence.",2,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0113,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0113&SessionID=16
181,HP0114,House,132,An Act to Modify the Calculation of Pupil Counts Used for Determination of School Administrative Unit Operating Costs,Education and Cultural Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 1, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/1/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),4,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0114,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0114&SessionID=16
182,HP0115,House,132,An Act to Provide Per Diem Payments for MaineCare Residents of the Maine Veterans' Homes,Health and Human Services,"Died On Adjournment, Apr 29, 2026",,,,False,6/16/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),1,9,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0115,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0115&SessionID=16
183,HP0116,House,132,An Act to Cap Publicly Owned Land Area at No More than 50 Percent of Any County,"Agriculture, Conservation and Forestry","Ought Not to Pass Pursuant To Joint Rule 310, Apr 1, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/1/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),7,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0116,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0116&SessionID=16
184,HP0117,House,132,"Resolve, Establishing the Commission to Study the Foreclosure Process",Judiciary,"Accepted Majority (ONTP) Report, Jun 17, 2025",,,,False,6/17/2025 - The House RECEDED and CONCURRED to ACCEPTANCE of the Majority Ought Not to Pass Report. ROLL CALL NO. 548 (Yeas 73 - Nays 72 - Absent 4 - Excused 2) ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD ),"6/16/2025 - Report READ Senator CARNEY of Cumberland moved to ACCEPT The Majority Ought Not To Pass Report. On motion by Senator HARRINGTON of York Tabled until Later in Today's Session, pending Motion by Senator CARNEY of Cumberland to ACCEPT The Majority Ought Not To Pass Report In NON-CONCURRENCE. Taken from the table by the President Subsequently, The Majority Ought Not To Pass Report ACCEPTED In NON-CONCURRENCE. PREVAILED Roll Call Ordered Roll Call Number 578 Yeas 20 - Nays 15 - Excused 0 - Absent 0",0,7,3,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0117,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0117&SessionID=16
185,HP0118,House,132,An Act to Expand Opportunities to Invest Municipal Tax Increment Financing Revenues,Taxation,"Enacted, Jun 15, 2025","Unsigned, Jun 15, 2025","ACTPUB, Chapter 310",310,True,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - PASSED TO BE ENACTED , in concurrence.",10,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0118,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0118&SessionID=16
186,HP0119,House,132,An Act to Clarify the Public Utilities Commission's Authority to Establish Time-of-use Pricing for Standard-offer Service,"Energy, Utilities and Technology","Enacted, Jun 9, 2025","Signed, Jun 9, 2025","ACTPUB, Chapter 196",196,True,6/2/2025 - PASSED TO BE ENACTED . ROLL CALL NO. 253 (Yeas 74 - Nays 66 - Absent 11 - Excused 0) Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - PASSED TO BE ENACTED , in concurrence.",3,7,3,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0119,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0119&SessionID=16
187,HP0120,House,132,An Act to Prohibit Labor Organizations from Imposing Mandatory Service Fees on Nonmembers,Labor,"Accepted Majority (ONTP) Report, May 13, 2025",,,,False,"5/7/2025 - Reports READ . On motion of Representative ROEDER of Bangor, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 118 (Yeas 76 - Nays 64 - Absent 10 - Excused 0 - Restricted - 1) Sent for concurrence. ORDERED SENT FORTHWITH.",5/13/2025 - Reports Read On motion by Senator TIPPING of Penobscot the Majority Ought Not to Pass Report ACCEPTED . PREVAILED Roll Call Ordered Roll Call Number 143 Yeas 20 - Nays 12 - Excused 3 - Absent 0 Placed in Legislative Files (DEAD),7,5,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0120,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0120&SessionID=16
188,HP0121,House,132,An Act to Permit the Sale of Motor Vehicles on Sundays,Housing and Economic Development,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 20, 2025",,,,False,1/21/2025 - The House INSISTED on REFERENCE to the Committee on HOUSING AND ECONOMIC DEVELOPMENT . ORDERED SENT FORTHWITH.,3/20/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),6,5,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0121,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0121&SessionID=16
189,HP0122,House,132,An Act to Increase Availability and Affordability of Mental Health Care and Substance Use Disorder Services by Removing the Certificate of Need Requirement,"Health Coverage, Insurance and Financial Services","Accepted Majority (ONTP) Report, May 20, 2025",,,,False,"5/6/2025 - Reports READ . On motion of Representative MATHIESON of Kittery, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 111 (Yeas 74 - Nays 67 - Absent 9 - Excused 0 - Restricted - 1) Sent for concurrence. ORDERED SENT FORTHWITH.",5/20/2025 - Taken from the table by the President On motion by Senator BAILEY of York to ACCEPT The Majority Ought Not To Pass Report in concurrence PREVAILED Roll Call Ordered Roll Call Number 187 Yeas 19 - Nays 13 - Excused 3 - Absent 0 Placed in Legislative Files (DEAD),7,8,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0122,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0122&SessionID=16
190,HP0123,House,132,An Act to Exempt Certain Numismatic Transactions from State Sales Tax,Taxation,"Leave to Withdraw, Feb 25, 2025",,,,False,1/14/2025 - Committee on Taxation suggested and ordered printed. The Bill was REFERRED to the Committee on TAXATION . Sent for concurrence. ORDERED SENT FORTHWITH.,2/25/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0123,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0123&SessionID=16
191,HP0124,House,132,An Act to Support Maine Businesses by Establishing a Pass-through Entity Tax and Tax Credit,Taxation,"Died On Adjournment, Apr 29, 2026",,,,False,4/2/2026 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),3,9,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0124,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0124&SessionID=16
192,HP0125,House,132,"An Act to Exempt from State Sales Tax Utility Vehicles Purchased for Use in Commercial Fishing, Agricultural Production, Aquacultural Production and Wood Harvesting",Taxation,"Died On Adjournment, Apr 29, 2026",,,,False,5/29/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),6,9,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0125,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0125&SessionID=16
193,HP0126,House,132,An Act to Fund Students in Maine Schools Who Are Experiencing Homelessness,Education and Cultural Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, May 21, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",5/21/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),6,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0126,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0126&SessionID=16
194,HP0127,House,132,An Act to Improve the Maine Unfair Trade Practices Act,Judiciary,"Ought Not to Pass Pursuant To Joint Rule 310, May 28, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",5/28/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),5,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0127,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0127&SessionID=16
195,SP0095,Senate,132,An Act to Create the Small Business Capital Savings Account Program,Housing and Economic Development,"Died On Adjournment, Apr 29, 2026",,,,False,6/25/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,4/29/2026 - Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),10,19,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0095,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0095&SessionID=16
196,SP0094,Senate,132,An Act Regarding Documents Obtained by Subpoena by the Government Oversight Committee,Judiciary,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 20, 2025",,,,False,1/14/2025 - The Bill was REFERRED to the Committee on JUDICIARY . In concurrence. ORDERED SENT FORTHWITH.,3/20/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),5,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0094,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0094&SessionID=16
197,SP0084,Senate,132,"Resolve, to Direct the Governor's Energy Office to Conduct a Study Regarding the Future of Electric Transmission Infrastructure in the State","Energy, Utilities and Technology","Finally Passed, Jun 10, 2025","Signed, Jun 10, 2025","RESLV, Chapter 57",57,True,6/3/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/3/2025 - FINALLY PASSED , in concurrence.",3,13,1,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0084,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0084&SessionID=16
198,SP0085,Senate,132,An Act to Prohibit the University of Maine System Campus Police from Issuing a Citation or Summons Related to a Parking Violation to a Visitor of the University of Maine System,Education and Cultural Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 18, 2025",,,,False,1/14/2025 - The Bill was REFERRED to the Committee on EDUCATION AND CULTURAL AFFAIRS . In concurrence. ORDERED SENT FORTHWITH.,3/18/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0085,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0085&SessionID=16
199,SP0086,Senate,132,An Act to Change the Limits on Candidates' Communications with Voters at the Polls,Veterans and Legal Affairs,"Accepted Majority (ONTP) Report, Mar 20, 2025",,,,False,"3/20/2025 - Reports READ . On motion of Representative SUPICA of Bangor, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 45 (Yeas 76 - Nays 66 - Absent 8 - Excused 0 - Restricted - 1) In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",3/18/2025 - Reports READ On motion by Senator HICKMAN of Kennebec The Majority Ought Not To Pass Report ACCEPTED Sent down for concurrence,3,4,1,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0086,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0086&SessionID=16
200,SP0087,Senate,132,"Resolve, to Rename the Sebago Lake Road Crossing Bridge in the Town of Standish",Transportation,"Finally Passed, Mar 25, 2025","Signed, Mar 25, 2025","RESLV, Chapter 8",8,True,3/18/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"3/20/2025 - FINALLY PASSED , in concurrence.",1,6,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0087,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0087&SessionID=16
201,SP0088,Senate,132,An Act to Establish a Limit on the Interest Rate Charged for Revolving Loans,"Health Coverage, Insurance and Financial Services","Ought Not to Pass Pursuant To Joint Rule 310, Mar 4, 2025",,,,False,"1/14/2025 - The Bill was REFERRED to the Committee on HEALTH COVERAGE, INSURANCE AND FINANCIAL SERVICES . In concurrence. ORDERED SENT FORTHWITH.",3/4/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),1,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0088,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0088&SessionID=16
202,SP0089,Senate,132,An Act to Increase the Number of Children a Child Care Provider May Care for Without Having to Be Licensed by the Department of Health and Human Services,Health and Human Services,"Enacted, May 29, 2025","Signed, May 29, 2025","ACTPUB, Chapter 135",135,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/27/2025 - PASSED TO BE ENACTED , in concurrence.",7,7,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0089,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0089&SessionID=16
203,SP0090,Senate,132,An Act to Provide an Income Tax Credit for Employer-supported Child Care,Taxation,"Ought Not to Pass Pursuant To Joint Rule 310, May 6, 2025",,,,False,1/14/2025 - The Bill was REFERRED to the Committee on TAXATION . In concurrence. ORDERED SENT FORTHWITH.,5/6/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),5,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0090,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0090&SessionID=16
204,SP0091,Senate,132,An Act to Reduce the Cost of Electricity by Removing the 100-megawatt Limit on Renewable Resources of Energy,"Energy, Utilities and Technology","Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,"1/14/2025 - The Bill was REFERRED to the Committee on ENERGY, UTILITIES AND TECHNOLOGY . In concurrence. ORDERED SENT FORTHWITH.",4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),6,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0091,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0091&SessionID=16
205,SP0092,Senate,132,An Act to Amend the Bag Limit for Turkey,Inland Fisheries and Wildlife,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 27, 2025",,,,False,1/14/2025 - The Bill was REFERRED to the Committee on INLAND FISHERIES AND WILDLIFE . In concurrence. ORDERED SENT FORTHWITH.,3/27/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),4,4,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0092,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0092&SessionID=16
206,SP0093,Senate,132,An Act to Protect Maine Businesses by Eliminating the Automatic Cost-of-living Adjustment to the Minimum Hourly Wage,Labor,"Accepted Majority (ONTP) Report, May 22, 2025",,,,False,"5/22/2025 - Reports READ . On motion of Representative ROEDER of Bangor, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 176 (Yeas 75 - Nays 66 - Absent 10 - Excused 0) In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",5/20/2025 - Taken from the table by the President On motion by Senator TIPPING of Penobscot to ACCEPT The Majority Ought Not To Pass Report PREVAILED Roll Call Ordered Roll Call Number 189 Yeas 19 - Nays 13 - Excused 3 - Absent 0 Ordered sent down forthwith for concurrence,6,8,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0093,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0093&SessionID=16
207,SP0096,Senate,132,An Act to Amend the Laws Governing Qualifying Contributions of Cash Under the Maine Clean Election Act,Veterans and Legal Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, Mar 4, 2025",,,,False,1/14/2025 - The Bill was REFERRED to the Committee on VETERANS AND LEGAL AFFAIRS . In concurrence. ORDERED SENT FORTHWITH.,3/4/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),7,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0096,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0096&SessionID=16
208,HP0128,House,132,An Act to Eliminate the 72-hour Waiting Period on Firearm Purchases,Judiciary,"Died Between Houses, Apr 9, 2026",,,,False,"4/9/2026 - Speaker FECTEAU of Biddeford MOVED to INSIST . Motion of Representative FAULKINGHAM of Winter Harbor, to RECEDE and CONCUR to ACCEPTANCE of the Minority Ought Not to Pass Report FAILED . ROLL CALL NO. 804 (Yeas 72 - Nays 76 - Absent 2 - Excused 0 - Vacant 1) Subsequently, the House INSISTED on ACCEPTANCE of the Majority Ought to Pass as Amended Report and PASSAGE TO BE ENGROSSED as Amended by Committee Amendment ""A"" (H-1032) ORDERED SENT FORTHWITH.",4/9/2026 - On motion by Senator PIERCE of Cumberland the Senate INSISTED on The Minority Ought to Pass Report and PASSAGE TO BE ENGROSSED . Placed in Legislative Files (DEAD),7,8,4,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0128,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0128&SessionID=16
209,HP0131,House,132,"An Act to Make Supplemental Appropriations and Allocations from the General Fund and Other Funds for the Expenditures of State Government and to Change Certain Provisions of the Law Necessary to the Proper Operations of State Government for the Fiscal Year Ending June 30, 2025",Appropriations and Financial Affairs,"Died Between Houses, Mar 13, 2025",,,,False,"3/11/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. The House INSISTED on PASSAGE TO BE ENACTED . ROLL CALL NO. 20 (Yeas 108 - Nays 29 - Absent 13 - Excused 0 - Restricted - 1) ORDERED SENT FORTHWITH.","3/13/2025 - Motion by Senator PIERCE of Cumberland To RECEDE and CONCUR Motion by Senator BENNETT of Oxford To RECEDE On motion by Senator HICKMAN of Kennebec Tabled until Later in Today's Session, pending motion to RECEDE Taken from the table by the President Subsequently, motion to RECEDE FAILED Roll Call Ordered Roll Call Number 36 Yeas 12 - Nays 20 - Excused 3 - Absent 0 Subsequently motion to RECEDE and CONCUR FAILED Roll Call Ordered Roll Call Number 37 Yeas 22 - Nays 10 - Excused 3 - Absent 0 On motion by Senator PIERCE of Cumberland To INSIST On motion by Senator BENNETT of Oxford To INSIST and ASKED for a COMMITTEE OF CONFERENCE On motion by Senator PIERCE of Cumberland Tabled until Later in Today's Session, pending motion to INSIST and ASKED for a COMMITTEE OF CONFERENCE Taken from the table by the President Subsequently motion to INSIST and ASKED for a COMMITTEE OF CONFERENCE FAILED Roll Call Ordered Roll Call Number 38 Yeas 12 - Nays 20 - Excused 3 - Absent 0 Subsequently motion to INSIST FAILED Roll Call Ordered Roll Call Number 39 Yeas 0 - Nays 32 - Excused 3 - Absent 0 Motion by Senator PIERCE of Cumberland To RECEDED and CONCUR FAILED Roll Call Ordered Roll Call Number 40 Yeas 22 - Nays 10 - Excused 3 - Absent 0 On motion by Senator PIERCE of Cumberland To INSIST To FAILED ENACTMENT Placed in Legislative Files (DEAD)",1,12,31,16,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0131,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0131&SessionID=16
210,HP0132,House,132,"An Act Making Unified Appropriations and Allocations from the General Fund and Other Funds for the Expenditures of State Government and Changing Certain Provisions of the Law Necessary to the Proper Operations of State Government for the Fiscal Years Ending June 30, 2025, June 30, 2026 and June 30, 2027",Appropriations and Financial Affairs,"Enacted, Jun 20, 2025","Signed, Jun 20, 2025","ACTPUB, Chapter 388",388,True,6/18/2025 - PASSED TO BE ENACTED . ROLL CALL NO. 583 (Yeas 74 - Nays 73 - Absent 2 - Excused 2) Sent for concurrence. ORDERED SENT FORTHWITH.,"6/18/2025 - PASSED TO BE ENACTED , in concurrence. PREVAILED Roll Call Ordered Roll Call Number 635 Yeas 19 - Nays 15 - Excused 1 - Absent 0",1,7,9,10,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0132,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0132&SessionID=16
211,HP0134,House,132,"Resolve, Directing the Department of Education to Communicate to School Administrative Units and Private Schools the Importance of Adopting Seizure Action Plans",Education and Cultural Affairs,"Finally Passed, Jun 12, 2025","Signed, Jun 12, 2025","RESLV, Chapter 72",72,True,5/29/2025 - FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - FINALLY PASSED , in concurrence.",6,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0134,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0134&SessionID=16
212,HP0135,House,132,An Act to Require the Valuation of Energy Produced by Hydropower Dams and Exploration of Alternative Ownership Options Before They Are Removed,Environment and Natural Resources,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 24, 2025",,,,False,"3/21/2025 - Carried over, in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519.",4/24/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),4,5,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0135,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0135&SessionID=16
213,HP0136,House,132,An Act to Increase the Sales Commission of Retailers Selling Lottery Tickets,Veterans and Legal Affairs,"Died Between Houses, Jun 2, 2025",,,,False,"5/29/2025 - The House INSISTED on ACCEPTANCE of the Majority Ought to Pass as Amended Report and PASSAGE TO BE ENGROSSED as Amended by Committee Amendment ""A"" (H-184) ORDERED SENT FORTHWITH.",6/2/2025 - On motion by Senator PIERCE of Cumberland the Senate INSISTED on ACCEPTANCE of the Minority Ought Not To Pass Report. PREVAILED Roll Call Ordered Roll Call Number 273 Yeas 19 - Nays 15 - Excused 1 - Absent 0 Placed in Legislative Files (DEAD),1,9,2,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0136,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0136&SessionID=16
214,HP0137,House,132,An Act to Create a For-hire Charter Boat Operator License and to Require Individuals Recreationally Fishing for Halibut in Coastal Waters to Register with the Saltwater Recreational Fishing Registry,Marine Resources,"Enacted, May 30, 2025","Signed, May 30, 2025","ACTPUB, Chapter 155",155,True,5/28/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/28/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0137,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0137&SessionID=16
